model,timestamp,num_layer,num_shared_layer,hidden_neurons,advanced_time_attributes,data_attributes,event_dim,text_encoding,text_dim,next_activity_acc,next_time_mae,outcome_acc,cycle_time_mae,naa_1,naa_2,naa_3,naa_4,naa_5,naa_6,naa_7,naa_8,ntm_1,ntm_2,ntm_3,ntm_4,ntm_5,ntm_6,ntm_7,ntm_8,oa_1,oa_2,oa_3,oa_4,oa_5,oa_6,oa_7,oa_8,ctm_1,ctm_2,ctm_3,ctm_4,ctm_5,ctm_6,ctm_7,ctm_8
tapp,2020-11-21-14-38-11,2,1,100,True,[],17,-,0,0.6986807450263609,0.24986310492524924,0.5295722337070184,1.6764971554700832,0.646495865539821,0.4800828714897651,0.8165411600718638,0.7087619875550467,0.6645265191361233,0.7739523720979575,0.6522081122849477,0.7754252088387694,0.004225906915552581,0.4825461541714636,0.19043152246892744,0.1483837337948556,0.20903493750920046,0.5096787633867454,0.7012397176130388,0.04280115197030373,0.27639002769394305,0.3704556519602317,0.508792444644494,0.6034895186961612,0.6307823784751079,0.6080781314437648,0.5046623587973236,0.5433984951420848,2.1865116781088156,2.1883969653958486,1.9641173977351158,2.005125410740213,1.5672806581955057,1.0513535159929306,0.8323292758258504,0.07421968349809233
tapp,2020-11-21-14-41-25,2,1,100,True,[],67,BoW,50,0.8548915714455076,0.1037463257896612,0.6516041280538154,1.3614951759606393,0.646495865539821,0.4820206412659977,0.990680621955914,0.9928410289215074,0.99436220939036,0.9921740977512438,0.9949146688366101,0.9914250233205292,0.006194798262045474,0.37898538672203697,0.061368870299249687,0.03313438141172381,0.07431707989912817,0.11612136993945606,0.07636957184243985,0.014198307268908791,0.27639002769394305,0.567718298096139,0.6592088858741059,0.6750313886595676,0.7052100065974709,0.7041574830303996,0.7337190994383417,0.8163556381386938,2.1866092537225974,2.140242390196148,1.751224375042859,1.3508263242624658,0.8040020260795219,0.5945633733009772,0.10434800882476923,0.04908720442057568
tapp,2020-11-21-14-44-23,2,1,100,True,[],117,BoW,100,0.8805623412574802,0.10526195014411506,0.652255641831866,1.3642265811649668,0.646495865539821,0.5767220911661523,0.9908330616044252,0.9928410289215074,0.99436220939036,0.9921740977512438,0.99491466883661,0.9914250233205292,0.009387398285859105,0.3792187098874812,0.06224148563578565,0.034881097197735154,0.0760364333876949,0.11804279665532465,0.0775772094065606,0.01590330614721592,0.27639002769394305,0.5677238706942365,0.659352022912801,0.6750313886595676,0.7052536800204949,0.7081461851554246,0.7318854342334724,0.8086865731660774,2.192476369788736,2.1398202426681867,1.7564314473194007,1.3540462782909957,0.8051235538799003,0.5942505423452641,0.1063483473318355,0.05296949474506618
tapp,2020-11-21-14-47-12,2,1,100,True,[],517,BoW,500,0.8550226270228403,0.10371823650879558,0.6535220659750713,1.3678340309526005,0.646495865539821,0.4800828714897651,0.9908330616044252,0.9928410289215074,0.99436220939036,0.9921740977512438,0.9949146688366101,0.9914250233205292,0.005240633958144193,0.3794033836169585,0.06143044787753056,0.0324170397237223,0.07444725912870821,0.11749722853655348,0.0763262518878896,0.014472404814834418,0.27639002769394305,0.5677238706942365,0.6593248192485719,0.6747806357339431,0.7062156877693099,0.7292562252707641,0.7315522029550461,0.8142696339181869,2.1866927601443638,2.1442127273269262,1.7578537659127014,1.37199981845998,0.8132772944161966,0.5942755483130145,0.1057250933885476,0.05155651584013372
tapp,2020-11-21-14-50-11,2,1,100,True,[],67,BoNG,50,0.8385801253358455,0.13352471696719806,0.644930317019751,1.400301518123198,0.646495865539821,0.48232497271784097,0.9451529200294064,0.9928410289215074,0.99436220939036,0.9485961362275992,0.9271737424671644,0.9914250233205292,0.0073023318118624345,0.3807805611508024,0.11025350581825168,0.03393794499342416,0.07685886958255016,0.23131605817957704,0.2489069818854055,0.015810191206803072,0.27639002769394305,0.5526838548395223,0.6437638061607848,0.6750313886595676,0.7052100065974709,0.6886918680185743,0.6054534607965409,0.8099219711177025,2.1869954158317597,2.1558466628977606,1.8299487569744304,1.3478829205206302,0.8029032510719674,0.7261908348829167,0.3047545135863275,0.048493971463985056
tapp,2020-11-21-14-52-54,2,1,100,True,[],117,BoNG,100,0.8803482047495179,0.10882738417525027,0.6508537562485369,1.3700382613902524,0.646495865539821,0.5808846180718267,0.9908330616044252,0.9928410289215074,0.99436220939036,0.9807852567673736,0.9747163437661078,0.9914250233205292,0.004968959046044173,0.3789306731160381,0.061033913942154086,0.031958304065464474,0.07415823093754445,0.14432416937985806,0.1258536362190441,0.014350274003341669,0.27639002769394305,0.5677238706942365,0.659352022912801,0.6750313886595676,0.7081646863577087,0.7146100001422927,0.7148154390215313,0.8071060675693601,2.186685349005927,2.1458273339046188,1.7576365064612465,1.358271050581863,0.7999168751324105,0.6240506563472376,0.16007698423443534,0.04742780721584676
tapp,2020-11-21-14-55-45,2,1,100,True,[],517,BoNG,500,0.8628508816587985,0.10527807442777808,0.6491728494168129,1.3669947896206005,0.646495865539821,0.5397474380536738,0.9908330616044252,0.9928410289215074,0.99436220939036,0.9921740977512438,0.99491466883661,0.9914250233205292,0.009743759471431638,0.3795908518016648,0.06283052440029438,0.03442901034921736,0.0750897125957297,0.11656083688825228,0.07788897933059631,0.017255911714097155,0.27639002769394305,0.5675856097589318,0.6569198336560329,0.6797119944663834,0.7092680536060757,0.7134414245418067,0.7408896109349855,0.8198749989840621,2.1880165722873057,2.1395373636083637,1.7661632531962377,1.3689825440370111,0.8096691419488177,0.5922775020468135,0.10323529301813644,0.048415994716702285
tapp,2020-11-21-14-59-44,2,1,100,True,[],27,PV,10,0.7988119828780853,0.18141247155232265,0.5935305209996403,1.5122032980700963,0.646495865539821,0.481226944353565,0.8693864288251426,0.9183969000677806,0.921100685757932,0.9279676454801334,0.8840040661949556,0.9396496054374354,0.006113284595509578,0.4511754344574109,0.18129723162280434,0.0825076080263235,0.12992956500699346,0.28029511178705663,0.34925082150865194,0.02759178192292455,0.27639002769394305,0.4635153075188501,0.5734216177991548,0.6375126769158596,0.6648806218236051,0.6661324010127478,0.6343887876413813,0.745293496399657,2.1869715768877342,2.183282705770889,1.9508398917026168,1.6236569241890075,1.0815970414393512,0.7902309168035915,0.43153329156832665,0.0632096764934259
tapp,2020-11-21-15-03-27,2,1,100,True,[],37,PV,20,0.8450970582700613,0.11748471266364867,0.6401382934370011,1.3917063862163324,0.646495865539821,0.5266685801027325,0.9654439210586954,0.9755402915356116,0.9761324341305514,0.9882937283479972,0.98860014337019,0.9733021275316176,0.005824993266549511,0.3969415526684093,0.09066558920163396,0.04357123521886985,0.08675436327644373,0.1297308640339865,0.09543306442296558,0.020729310870854563,0.2451983722023458,0.5466727131890364,0.642227909927234,0.6643290491839267,0.6996802624963426,0.7128513298399596,0.7198666981066845,0.7944469089478914,2.186774052527161,2.1555248741751494,1.7961776991889111,1.409550927287305,0.8775809824078874,0.6101323436070138,0.12390251678348005,0.05210707342622781
tapp,2020-11-21-15-07-16,2,1,100,True,[],117,PV,100,0.8618565800950725,0.11621469016882448,0.6463860757905916,1.3854879945523737,0.646495865539821,0.5583563081652422,0.9825097008430392,0.9921349852658692,0.9937417427986118,0.98801611313753,0.9907053513897632,0.9914250233205292,0.008306533860995722,0.3887509141411379,0.097068543799219,0.03611814649326426,0.07883273566980838,0.1359241167649613,0.10322954163309807,0.017156527784105736,0.27639002769394305,0.5632817386364454,0.6440843517704005,0.6737332306082973,0.7046726696678274,0.7028668608593496,0.7298197723137253,0.8174347150276925,2.1870928019159592,2.1610230121649345,1.8157987682826369,1.3720872785046423,0.8176430558910003,0.6215384773009747,0.1422858379349011,0.05509772554996102
tapp,2020-11-21-15-09-27,2,1,100,True,[],27,LDA,10,0.8547001133409066,0.10330139054746562,0.6420605274810796,1.3622155598511534,0.646495865539821,0.48672661966465997,0.9908330616044252,0.9928410289215074,0.99436220939036,0.9921740977512438,0.99491466883661,0.9914250233205292,0.0047607067142059105,0.3795494610756768,0.061191858026262175,0.031818891356755134,0.07347784077520476,0.11643619028889153,0.07601715327481512,0.013951635269613552,0.27639002769394305,0.5677238706942365,0.659352022912801,0.6750313886595676,0.7052100065974709,0.6633003918494155,0.653978513842751,0.8091339840177049,2.1864886843015428,2.143876775919005,1.750728409244372,1.3486625713291955,0.8063676924236558,0.5970611245322959,0.10252310284235536,0.05005120531486328
