model,timestamp,num_layer,num_shared_layer,hidden_neurons,advanced_time_attributes,data_attributes,event_dim,text_encoding,text_dim,next_activity_acc,next_time_mae,outcome_acc,cycle_time_mae,naa_1,naa_2,naa_3,naa_4,naa_5,naa_6,naa_7,naa_8,ntm_1,ntm_2,ntm_3,ntm_4,ntm_5,ntm_6,ntm_7,ntm_8,oa_1,oa_2,oa_3,oa_4,oa_5,oa_6,oa_7,oa_8,ctm_1,ctm_2,ctm_3,ctm_4,ctm_5,ctm_6,ctm_7,ctm_8
tapp,2020-10-21-23-46-08,2,1,100,True,"['admission_type', 'insurance']",40,-,0,0.5870150435471101,27.352800885002214,0.6043019266297176,91.63288035742652,0.34659530564869745,0.8479494454475109,0.3837998303647159,0.7167090754877015,0.4049844236760125,0.6448598130841121,0.4697674418604651,0.5488372093023256,5.383161002048618,48.80423247762178,6.239943324688134,51.80103184556122,6.178910726859412,48.07753629883007,7.371992550241242,44.543565367336015,0.33234459633737423,0.9012767603817384,0.3426632739609839,0.8163698049194232,0.3442367601246106,0.7227414330218068,0.3302325581395349,0.5348837209302325,67.30245951906258,67.53383903289132,159.95942465366124,171.46245548669037,247.2486479696694,243.45977957879018,280.97970063522826,280.9136233850129
tapp,2020-10-22-01-50-14,2,1,100,True,"['admission_type', 'insurance']",90,BoW,50,0.5981525468461335,27.96728220647948,0.6136447611506994,94.830817676509,0.37316223884446736,0.8478849625999484,0.3863443596268024,0.7196776929601357,0.40342679127725856,0.6417445482866043,0.4697674418604651,0.586046511627907,5.5921549509019846,49.989264001150815,5.73563250898944,52.88799830478799,5.7382112517532375,48.53439465242507,6.9301901655698215,46.00775574051154,0.3665205055455249,0.9003740005158628,0.3256997455470738,0.7866836301950806,0.3161993769470405,0.6651090342679128,0.2976744186046512,0.5534883720930233,66.89405696950197,67.00124494417062,193.47151568647809,176.9067724347081,266.21977252076846,244.14966871410152,325.17685438199834,312.0796042743325
tapp,2020-10-22-03-05-18,2,1,100,True,"['admission_type', 'insurance']",140,BoW,100,0.6044602797571919,27.826756747430373,0.6190023752969122,97.2484291608548,0.3867036368326025,0.8480139282950735,0.402459711620017,0.7158608990670059,0.4174454828660436,0.6448598130841121,0.4418604651162791,0.5767441860465117,6.560004384638427,48.578213074425726,7.742362418852034,51.16772678921188,7.621033921906919,47.430851057090464,8.832889135815787,44.260800773530256,0.37870776373484655,0.8979881351560485,0.3511450381679389,0.7731128074639525,0.3348909657320872,0.6869158878504673,0.3116279069767442,0.5348837209302325,66.9707530138163,66.82048131377218,199.8516837246824,196.28519576407544,290.5097354999567,272.4333955394744,345.84677465546946,323.2715660529716
tapp,2020-10-22-04-39-41,2,1,100,True,"['admission_type', 'insurance']",540,BoW,500,0.6133808392715756,30.791524939269948,0.6197941409342834,100.87924295504835,0.4107557389734331,0.8468532370389477,0.40500424088210346,0.7171331636980492,0.4236760124610592,0.6261682242990654,0.4186046511627907,0.5395348837209303,8.107876132193649,53.39751918470816,7.632252245405612,55.59466877916855,7.805003743517751,51.15210876507097,8.527249572280763,47.1125446291586,0.3898632963631674,0.8899277792107301,0.3553859202714165,0.7671755725190841,0.3224299065420561,0.6838006230529595,0.26976744186046514,0.5348837209302325,73.71379375547541,75.62370990995841,179.32110698158905,181.68050582090518,264.615222692757,257.4654907984309,292.18574117140395,287.08144132213613
tapp,2020-10-22-05-56-35,2,1,100,True,"['admission_type', 'insurance']",90,BoNG,50,0.5916072842438638,27.62866140650156,0.6149115861704936,95.8227877663868,0.35723497549651795,0.8477559969048233,0.3939779474130619,0.7188295165394402,0.38161993769470404,0.6386292834890965,0.4930232558139535,0.5627906976744186,5.93931856700256,48.71386888221755,7.412769654587461,51.605409298601465,7.01149222918526,47.943155692887174,7.90657539476761,44.79307516440063,0.3631029146247097,0.8999226205829249,0.3464800678541137,0.7934690415606446,0.3161993769470405,0.6962616822429907,0.3348837209302325,0.5255813953488372,66.91252505919947,67.0756475326643,169.39570869299843,182.2190026656448,263.5888648393331,280.01494827722973,338.96723417312666,352.4726226851852
tapp,2020-10-22-06-59-06,2,1,100,True,"['admission_type', 'insurance']",140,BoNG,100,0.6009501187648456,27.97057107988705,0.6151227236737925,91.58907272341206,0.3783208666494712,0.8479494454475109,0.3944020356234097,0.7239185750636132,0.4158878504672897,0.6417445482866043,0.4697674418604651,0.5255813953488372,5.842279098575318,49.74065800607347,5.857135958472793,52.699179485323924,5.8571759157146674,48.916848116487714,7.1400283369775694,45.21535105813197,0.3671653340211504,0.8998581377353624,0.3388464800678541,0.7989821882951654,0.3224299065420561,0.6806853582554517,0.3209302325581395,0.5023255813953489,66.88053862140143,67.06405132615778,168.88268587850072,171.26611337757797,239.88726429091682,247.64484177591729,290.00275715977614,302.91992684108527
tapp,2020-10-22-07-51-16,2,1,100,True,"['admission_type', 'insurance']",540,BoNG,500,0.6020058062813407,28.383957415414336,0.6081287938770124,96.12642427107922,0.3807712148568481,0.8476915140572607,0.4067005937234945,0.714164546225615,0.4158878504672897,0.6433021806853583,0.4744186046511628,0.5302325581395348,6.118023356503452,50.400768437099636,5.938920348751043,53.122414204873245,5.8058889590578415,49.274473229348075,7.284862675629845,45.883318569081496,0.3624580861490844,0.8925715759607944,0.3452078032230704,0.7569974554707379,0.308411214953271,0.6791277258566978,0.2837209302325581,0.5441860465116279,68.36783911947235,68.89263562105873,185.06336356188942,186.1645309708332,272.59064254589964,262.2653639884042,304.8308655254092,297.1717562446167
tapp,2020-10-22-08-59-17,2,1,100,True,"['admission_type', 'insurance']",50,PV,10,0.5876748482449196,28.914966324160986,0.6050409078912642,92.64402459260627,0.3488522053133866,0.8479494454475109,0.37786259541984735,0.7154368108566582,0.4096573208722741,0.6510903426791277,0.4790697674418605,0.5581395348837209,6.378517076167268,51.33873569003193,5.827341863476239,53.65181903565289,5.901654061044228,49.5676302301643,7.113383905980834,45.50931067562186,0.33724529275212795,0.9012767603817384,0.3324851569126378,0.8146734520780322,0.3271028037383177,0.7305295950155763,0.3023255813953488,0.5348837209302325,68.16167251003053,66.9006280480982,162.48306134443322,163.12212139696817,256.30640856661756,247.0574325476664,321.8402827304048,317.8301574612404
tapp,2020-10-22-10-06-13,2,1,100,True,"['admission_type', 'insurance']",60,PV,20,0.5888888888888889,27.607966481945247,0.6057007125890737,92.79236525864636,0.34833634253288626,0.8479494454475109,0.38719253604749787,0.7201017811704835,0.440809968847352,0.6510903426791277,0.4511627906976744,0.586046511627907,5.478175759170316,49.26522090468596,6.014128244020702,52.46597670965543,6.0019804806003405,48.27489450090495,7.098552399154782,44.58163680664904,0.3387283982460665,0.9008898632963632,0.32951653944020354,0.8129770992366412,0.3193146417445483,0.7352024922118381,0.31627906976744186,0.5720930232558139,67.82336007090538,67.83814774948297,157.79547782813822,159.52816139354206,242.2765576414128,250.53276955694008,327.17802169465983,344.5363210594316
tapp,2020-10-22-11-03-46,2,1,100,True,"['admission_type', 'insurance']",140,PV,100,0.5895750857746107,27.448799532149664,0.610266561097915,93.0984196610655,0.3545266958988909,0.8478849625999484,0.3914334181509754,0.7111959287531806,0.4143302180685358,0.6261682242990654,0.4697674418604651,0.5162790697674419,5.476727048423316,48.96706719907104,5.954331767550436,52.00626553829293,5.8482760916947925,48.14521639848342,7.155166666377528,44.96748182188654,0.3418880577766314,0.8998581377353624,0.3579304495335029,0.8150975402883799,0.3442367601246106,0.7523364485981309,0.35348837209302325,0.6232558139534884,68.47776279949628,67.96447132537257,169.83911049093118,165.3904940958969,240.576328710915,230.8814095221097,290.9059797588286,285.533613372093
