model,timestamp,num_layer,num_shared_layer,hidden_neurons,advanced_time_attributes,data_attributes,event_dim,text_encoding,text_dim,next_activity_acc,next_time_mae,outcome_acc,cycle_time_mae,naa_1,naa_2,naa_3,naa_4,naa_5,naa_6,naa_7,naa_8,ntm_1,ntm_2,ntm_3,ntm_4,ntm_5,ntm_6,ntm_7,ntm_8,oa_1,oa_2,oa_3,oa_4,oa_5,oa_6,oa_7,oa_8,ctm_1,ctm_2,ctm_3,ctm_4,ctm_5,ctm_6,ctm_7,ctm_8
tapp,2020-10-21-21-49-36,2,1,100,True,[],17,-,0,0.7647221593338868,0.2502348895649589,0.5835534425074838,1.7143612912618336,0.7526994601079784,0.6086298258894777,0.8686064318529862,0.7820694542877392,0.7460978147762747,0.8249721293199554,0.7613012251795521,0.8290598290598291,0.005441027111041219,0.4829290583425666,0.19027416572923486,0.14858008275323747,0.209287929141638,0.5100501160009385,0.7011796514389669,0.0433607987382514,0.4472105578884223,0.4472369417108251,0.5790199081163859,0.6699149539333806,0.6861602497398543,0.6538461538461539,0.6113223489649345,0.6478632478632479,2.1866167676384336,2.1885265375870366,1.968981806086788,2.011669592671841,1.5963371918041642,1.091831206210585,0.9313970119488916,0.27686405524725943
tapp,2020-10-21-22-38-30,2,1,100,True,[],67,BoW,50,0.8891907528991523,0.1043447707654025,0.6762256936583403,1.4150071409741471,0.7526994601079784,0.6109008327024981,0.990811638591118,0.9929128277817152,0.9943808532778357,0.9921962095875141,0.9949302915082384,0.9914529914529916,0.006393753813399288,0.3796205555270998,0.06208455644663177,0.03249093451510717,0.07479639566326805,0.11799970618296525,0.07729447659683714,0.01582308934775821,0.4472105578884223,0.6095382286146859,0.7055130168453293,0.7255492558469171,0.7359001040582727,0.738015607580825,0.7452471482889734,0.8188034188034188,2.187259480826273,2.13871636558564,1.760505020621607,1.3763476509187371,0.8561338462939799,0.6786422367398314,0.2820061285394549,0.28173896951666355
tapp,2020-10-21-23-38-44,2,1,100,True,[],117,BoW,100,0.8894171509068498,0.1045758850380027,0.6686539380675672,1.4203151910076075,0.7526994601079784,0.612112036336109,0.9909647779479326,0.9929128277817152,0.9943808532778357,0.992196209587514,0.9949302915082384,0.9914529914529916,0.008502838378648608,0.3795127425841547,0.06259026616750267,0.0332202221783305,0.0743685967364814,0.11670677128854533,0.07664197252306215,0.014755567356368604,0.4167666466706659,0.6095382286146859,0.7056661562021439,0.7216513111268604,0.7317377731529656,0.7341137123745819,0.7334178284748627,0.8102564102564103,2.1885298773624133,2.146023425601398,1.7649833655845395,1.3943891635616132,0.8582078912154707,0.6719430750626202,0.28281631491040504,0.28874106829037105
tapp,2020-10-22-00-28-26,2,1,100,True,[],517,BoW,500,0.8889895102256433,0.10670466146743672,0.6756974316403793,1.4145858366757411,0.7526994601079784,0.6095382286146859,0.9909647779479326,0.9929128277817152,0.9943808532778357,0.9921962095875141,0.9949302915082384,0.9914529914529916,0.009960625311829677,0.38008425975528265,0.06394778544780058,0.034598083679212036,0.07651589367445225,0.12104696181122752,0.08210732350731284,0.02000059866262908,0.4472105578884223,0.6095382286146859,0.7056661562021439,0.7257264351523742,0.7344432882414151,0.7338350055741361,0.7452471482889734,0.8182336182336183,2.186462692140817,2.1384020960881247,1.7586792168684442,1.3739852593288193,0.8524766740272564,0.6764273828463899,0.2874018815473996,0.2910742427967351
tapp,2020-10-22-01-20-55,2,1,100,True,[],67,BoNG,50,0.8733680476945136,0.13145139287215288,0.6632455412170151,1.4495240973513583,0.7526994601079784,0.6104466313398941,0.9427258805513016,0.9929128277817152,0.9943808532778357,0.9489966555183946,0.9286016054076892,0.9914529914529916,0.0042363561899947,0.37914938418258176,0.10888096127786302,0.032051378528904745,0.07367660392823995,0.2283858077520245,0.2477478874979188,0.015470429619928509,0.4472105578884223,0.5943981831945496,0.6885145482388974,0.7257264351523742,0.7359001040582727,0.6992753623188406,0.6780735107731305,0.8142450142450143,2.1865485793811223,2.1506342600741206,1.8318655391706933,1.3735262901772205,0.8536273797558108,0.7957826511383942,0.46685591516723,0.28222488096676845
tapp,2020-10-22-01-50-59,2,1,100,True,[],117,BoNG,100,0.8869519281563656,0.10870486297110653,0.6745654416018917,1.4237499236240208,0.7526994601079784,0.6107494322482967,0.9909647779479326,0.9929128277817152,0.9943808532778357,0.9807692307692308,0.9746514575411914,0.9914529914529916,0.004241024586792225,0.3791790081535725,0.06095657489930659,0.032190450654672235,0.07385440349776788,0.14403245902647893,0.12608544196675572,0.014678424406779004,0.4472105578884223,0.6095382286146859,0.7056661562021439,0.7262579730687456,0.7352757544224766,0.7293756967670011,0.730460498521335,0.8176638176638177,2.1894749278800885,2.138301402773156,1.7675487338528146,1.3793674815318244,0.8562482715662355,0.7075110635067946,0.34115449171257256,0.2905173887470874
tapp,2020-10-22-02-18-59,2,1,100,True,[],517,BoNG,500,0.8887631122179458,0.1040280621625936,0.669383442759037,1.4234607844157192,0.7526994601079784,0.6081756245268736,0.9909647779479326,0.9929128277817152,0.9943808532778357,0.992196209587514,0.9949302915082384,0.9914529914529916,0.004510706461153343,0.3799322442004072,0.06216661464548345,0.03295817446866428,0.07514536909296042,0.1173920038237728,0.07623431223286341,0.01524575176853594,0.4460107978404319,0.6092354277062831,0.7029096477794793,0.7140326009922041,0.7121748178980228,0.7221293199554069,0.7405999155048585,0.81994301994302,2.1881871029838984,2.1444496731925327,1.7702274056792615,1.3886826152520149,0.8668881281072988,0.6888632927470647,0.2941535829594973,0.29377834064710856
tapp,2020-10-22-03-04-28,2,1,100,True,[],27,PV,10,0.8315598822730359,0.17486650027086578,0.6252609865922069,1.5803489846540053,0.7526994601079784,0.6080242240726722,0.9045941807044412,0.922041105598866,0.90738813735692,0.9016164994425864,0.8424165610477398,0.9361823361823362,0.0054851349668776405,0.4375650738731575,0.15876245420388266,0.07909868623438608,0.13032533047932804,0.2801481079033263,0.3465825749041839,0.028225416607476312,0.4472105578884223,0.5197577592732778,0.6421133231240429,0.6901133947554926,0.7009365244536939,0.6822742474916388,0.6408956485002112,0.762962962962963,2.1885007837672883,2.175921393713781,1.9244101022861075,1.6263775540460068,1.15551126904815,0.876310164573717,0.6649181910057568,0.439954170127367
tapp,2020-10-22-03-54-45,2,1,100,True,[],37,PV,20,0.8760345131185068,0.11800502632531233,0.6644026865896914,1.4950604189640344,0.7526994601079784,0.607115821347464,0.9638591117917304,0.9723600283486888,0.9691987513007284,0.9869007803790412,0.9890156316011828,0.9726495726495726,0.005251426472422732,0.4018880103852989,0.08863026105291823,0.04629941303880741,0.0905982369142048,0.12808085053515664,0.09066669794273978,0.018771367029852482,0.4472105578884223,0.5809235427706283,0.6879019908116386,0.7161587526576896,0.7321540062434964,0.7341137123745819,0.7355302070130968,0.7971509971509971,2.186536429352364,2.158347407841315,1.8105367459742128,1.4634251669860867,0.9696137508894374,0.7398619129451781,0.4637494197352329,0.5367254990684944
tapp,2020-10-22-04-49-21,2,1,100,True,[],117,PV,100,0.8869016174879883,0.11939564274987588,0.6677735013709657,1.4577157334711897,0.7526994601079784,0.6172596517789554,0.9751914241960185,0.9923812898653436,0.9937565036420396,0.9888517279821628,0.9915504858470638,0.9897435897435898,0.004740185643620132,0.38985231421675504,0.1113786683697434,0.038440535536017714,0.08109833125751195,0.13589953411945946,0.10726363177615288,0.01980557591756229,0.4430113977204559,0.6027252081756245,0.677947932618683,0.7237774627923459,0.7317377731529656,0.7316053511705686,0.7300380228136882,0.8239316239316239,2.189746208663193,2.159830695678964,1.8441239402358591,1.4139422578915033,0.8955052496864188,0.7190587866080955,0.3504369695069365,0.3558479849768048
tapp,2020-10-22-05-22-01,2,1,100,True,[],27,LDA,10,0.8754056297637914,0.1369892390637937,0.6683772293914925,1.4541090587902077,0.7526994601079784,0.6086298258894777,0.9909647779479326,0.9929128277817152,0.9943808532778357,0.9225195094760312,0.8749471905365441,0.9914529914529916,0.009707259075628112,0.3789537717513288,0.06165627233038734,0.032057608486368974,0.07353311989640103,0.2864663818595316,0.3690446687649348,0.014930926884635471,0.4472105578884223,0.6095382286146859,0.7056661562021439,0.7257264351523742,0.7359001040582727,0.6989966555183946,0.674693705111956,0.8148148148148148,2.187908766656173,2.139942630439511,1.756576275728021,1.3730192307408864,0.8521355924685645,0.8643035920822971,0.626870091537657,0.3263881734726461
tapp,2020-10-22-05-55-37,2,1,100,True,[],37,LDA,20,0.8892159082333408,0.10449449127413392,0.6750182376172867,1.4132167287800392,0.7526994601079784,0.6109008327024981,0.9909647779479326,0.9929128277817152,0.9943808532778357,0.9921962095875141,0.9949302915082384,0.9914529914529916,0.005133425121367418,0.3792448051609436,0.06211709711534433,0.032937231336344776,0.0750295202295337,0.11906279368754835,0.0796671804197635,0.01692548697979166,0.4472105578884223,0.6095382286146859,0.7056661562021439,0.7257264351523742,0.7359001040582727,0.7357859531772575,0.7338403041825095,0.8102564102564103,2.1881250976015694,2.1406754344531884,1.7540937560261445,1.373006304201603,0.8521673491233626,0.6758017965020369,0.27882874288416143,0.28341914160600745
tapp,2020-10-22-06-34-25,2,1,100,True,[],117,LDA,100,0.8891907528991523,0.10454686181201997,0.6743641989283827,1.418289132586992,0.7526994601079784,0.6107494322482967,0.9909647779479326,0.9929128277817151,0.9943808532778355,0.992196209587514,0.9949302915082383,0.9914529914529915,0.006908100843562408,0.3796965749933702,0.062152114629065544,0.032228527469767315,0.07565468365689434,0.11887977859611915,0.07684584977052769,0.014921854672757924,0.4472105578884223,0.6095382286146859,0.7056661562021439,0.7257264351523742,0.7359001040582727,0.7346711259754738,0.7296155471060414,0.8034188034188035,2.187037960465846,2.1405266072598192,1.7602300305536083,1.3763237694284967,0.860499849175136,0.6861935577846536,0.29546568988107247,0.2953580642509803
